# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 2.556000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (2.500000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
117           	-9.371056e-03	8.067300e-03	1.421036e-01	6.168074e-02	8.042285e-02
118           	-9.412477e-03	8.074258e-03	1.418823e-01	6.152868e-02	8.035363e-02
119           	-9.437343e-03	8.074974e-03	1.417021e-01	6.141372e-02	8.028841e-02
120           	-9.450993e-03	8.070816e-03	1.415495e-01	6.132378e-02	8.022576e-02
121           	-9.457841e-03	8.064798e-03	1.414184e-01	6.125135e-02	8.016703e-02
122           	-9.461409e-03	8.060602e-03	1.413064e-01	6.119179e-02	8.011461e-02
123           	-9.463800e-03	8.060305e-03	1.412090e-01	6.114071e-02	8.006831e-02
124           	-9.465524e-03	8.063496e-03	1.411171e-01	6.109304e-02	8.002409e-02
125           	-9.466522e-03	8.068893e-03	1.410195e-01	6.104321e-02	7.997625e-02
126           	-9.465349e-03	8.074618e-03	1.409194e-01	6.099436e-02	7.992506e-02
127           	-9.459167e-03	8.078324e-03	1.408381e-01	6.095991e-02	7.987824e-02
128           	-9.446451e-03	8.079206e-03	1.407894e-01	6.094826e-02	7.984117e-02
129           	-9.427332e-03	8.077931e-03	1.407675e-01	6.095641e-02	7.981107e-02
130           	-9.401028e-03	8.075207e-03	1.407658e-01	6.098185e-02	7.978390e-02
131           	-9.369290e-03	8.072287e-03	1.407811e-01	6.102124e-02	7.975982e-02
132           	-9.338489e-03	8.070972e-03	1.408041e-01	6.106355e-02	7.974053e-02
133           	-9.313020e-03	8.071938e-03	1.408245e-01	6.109925e-02	7.972529e-02
134           	-9.291410e-03	8.074415e-03	1.408413e-01	6.112922e-02	7.971204e-02
135           	-9.270016e-03	8.077244e-03	1.408594e-01	6.115969e-02	7.969973e-02
136           	-9.246013e-03	8.079307e-03	1.408857e-01	6.119683e-02	7.968885e-02
137           	-9.217713e-03	8.079833e-03	1.409268e-01	6.124568e-02	7.968110e-02
138           	-9.185326e-03	8.078651e-03	1.409867e-01	6.130804e-02	7.967869e-02
139           	-9.151721e-03	8.076414e-03	1.410618e-01	6.137917e-02	7.968261e-02
140           	-9.121079e-03	8.074440e-03	1.411399e-01	6.144885e-02	7.969101e-02
141           	-9.095536e-03	8.073711e-03	1.412099e-01	6.150940e-02	7.970047e-02
142           	-9.087540e-03	8.074079e-03	1.412309e-01	6.152792e-02	7.970300e-02
143           	-9.054576e-03	8.075472e-03	1.413214e-01	6.160614e-02	7.971529e-02
144           	-9.021018e-03	8.076506e-03	1.414174e-01	6.168767e-02	7.972971e-02
145           	-8.993237e-03	8.076509e-03	1.415051e-01	6.175931e-02	7.974578e-02
146           	-8.985622e-03	8.076168e-03	1.415347e-01	6.178174e-02	7.975298e-02
147           	-8.957766e-03	8.074248e-03	1.416416e-01	6.186304e-02	7.977858e-02
148           	-8.931901e-03	8.072324e-03	1.417428e-01	6.193950e-02	7.980330e-02
149           	-8.912220e-03	8.070986e-03	1.418222e-01	6.199888e-02	7.982332e-02
150           	-8.907269e-03	8.070719e-03	1.418475e-01	6.201648e-02	7.983102e-02
151           	-8.885571e-03	8.070164e-03	1.419410e-01	6.208493e-02	7.985608e-02
152           	-8.863071e-03	8.069681e-03	1.420392e-01	6.215652e-02	7.988266e-02
153           	-8.855947e-03	8.069491e-03	1.420775e-01	6.218280e-02	7.989470e-02
154           	-8.830739e-03	8.068554e-03	1.421912e-01	6.226487e-02	7.992635e-02
155           	-8.810214e-03	8.067260e-03	1.422890e-01	6.233431e-02	7.995473e-02
156           	-8.806185e-03	8.066644e-03	1.423191e-01	6.235336e-02	7.996573e-02
157           	-8.791802e-03	8.064642e-03	1.424039e-01	6.241013e-02	7.999373e-02
158           	-8.779010e-03	8.062891e-03	1.424809e-01	6.246143e-02	8.001945e-02
159           	-8.775853e-03	8.062388e-03	1.425086e-01	6.247844e-02	8.003014e-02
160           	-8.760752e-03	8.061149e-03	1.425927e-01	6.253558e-02	8.005708e-02
161           	-8.746205e-03	8.060038e-03	1.426720e-01	6.258980e-02	8.008221e-02
162           	-8.742575e-03	8.059614e-03	1.427008e-01	6.260783e-02	8.009298e-02
163           	-8.728252e-03	8.058200e-03	1.427828e-01	6.266317e-02	8.011967e-02
164           	-8.716548e-03	8.056726e-03	1.428545e-01	6.271071e-02	8.014381e-02
165           	-8.709036e-03	8.055412e-03	1.429077e-01	6.274483e-02	8.016291e-02
166           	-8.708180e-03	8.054923e-03	1.429257e-01	6.275469e-02	8.017105e-02
167           	-8.700897e-03	8.053434e-03	1.429838e-01	6.279100e-02	8.019279e-02
168           	-8.692250e-03	8.051987e-03	1.430444e-01	6.282997e-02	8.021447e-02
169           	-8.683937e-03	8.050792e-03	1.430973e-01	6.286472e-02	8.023259e-02
170           	-8.677144e-03	8.049822e-03	1.431399e-01	6.289283e-02	8.024711e-02
171           	-8.671928e-03	8.048926e-03	1.431767e-01	6.291641e-02	8.026027e-02
172           	-8.667571e-03	8.047985e-03	1.432132e-01	6.293901e-02	8.027415e-02
173           	-8.663165e-03	8.046974e-03	1.432525e-01	6.296310e-02	8.028943e-02
174           	-8.658222e-03	8.045926e-03	1.432940e-01	6.298878e-02	8.030523e-02
175           	-8.652959e-03	8.044878e-03	1.433342e-01	6.301413e-02	8.032005e-02
176           	-8.647954e-03	8.043840e-03	1.433704e-01	6.303724e-02	8.033314e-02
177           	-8.643586e-03	8.042822e-03	1.434026e-01	6.305774e-02	8.034491e-02
178           	-8.639828e-03	8.041852e-03	1.434328e-01	6.307658e-02	8.035623e-02
179           	-8.636413e-03	8.040959e-03	1.434626e-01	6.309488e-02	8.036771e-02
180           	-8.635492e-03	8.040596e-03	1.434772e-01	6.310309e-02	8.037407e-02
181           	-8.630022e-03	8.039501e-03	1.435209e-01	6.313043e-02	8.039047e-02
182           	-8.624767e-03	8.038447e-03	1.435605e-01	6.315546e-02	8.040499e-02
183           	-8.623557e-03	8.038058e-03	1.435740e-01	6.316343e-02	8.041055e-02
184           	-8.619744e-03	8.036929e-03	1.436040e-01	6.318227e-02	8.042176e-02
185           	-8.616884e-03	8.035921e-03	1.436294e-01	6.319783e-02	8.043159e-02
186           	-8.616423e-03	8.035592e-03	1.436395e-01	6.320334e-02	8.043619e-02
187           	-8.613715e-03	8.034743e-03	1.436673e-01	6.321991e-02	8.044734e-02
188           	-8.610841e-03	8.034023e-03	1.436940e-01	6.323615e-02	8.045783e-02
189           	-8.610016e-03	8.033776e-03	1.437048e-01	6.324238e-02	8.046242e-02
190           	-8.606760e-03	8.033005e-03	1.437316e-01	6.325904e-02	8.047256e-02
191           	-8.605723e-03	8.032663e-03	1.437437e-01	6.326611e-02	8.047755e-02
192           	-8.602673e-03	8.031714e-03	1.437709e-01	6.328278e-02	8.048812e-02
193           	-8.601900e-03	8.031356e-03	1.437819e-01	6.328907e-02	8.049287e-02
194           	-8.599883e-03	8.030533e-03	1.438045e-01	6.330234e-02	8.050211e-02
195           	-8.599463e-03	8.030260e-03	1.438132e-01	6.330713e-02	8.050606e-02
196           	-8.598952e-03	8.029959e-03	1.438235e-01	6.331278e-02	8.051068e-02
197           	-8.596901e-03	8.029198e-03	1.438476e-01	6.332689e-02	8.052069e-02
198           	-8.596253e-03	8.028922e-03	1.438574e-01	6.333246e-02	8.052497e-02
199           	-8.594547e-03	8.028304e-03	1.438761e-01	6.334348e-02	8.053257e-02
200           	-8.594222e-03	8.028100e-03	1.438826e-01	6.334707e-02	8.053552e-02
201           	-8.593968e-03	8.027867e-03	1.438900e-01	6.335102e-02	8.053895e-02
202           	-8.592978e-03	8.027268e-03	1.439078e-01	6.336094e-02	8.054690e-02
203           	-8.592702e-03	8.027045e-03	1.439157e-01	6.336515e-02	8.055055e-02
204           	-8.592411e-03	8.026817e-03	1.439240e-01	6.336961e-02	8.055443e-02
205           	-8.591491e-03	8.026300e-03	1.439409e-01	6.337894e-02	8.056192e-02
206           	-8.591316e-03	8.026118e-03	1.439467e-01	6.338205e-02	8.056469e-02
207           	-8.591260e-03	8.025925e-03	1.439523e-01	6.338491e-02	8.056743e-02
208           	-8.591078e-03	8.025449e-03	1.439643e-01	6.339109e-02	8.057324e-02
209           	-8.591116e-03	8.025273e-03	1.439693e-01	6.339353e-02	8.057576e-02
210           	-8.591203e-03	8.025101e-03	1.439747e-01	6.339614e-02	8.057855e-02
211           	-8.591295e-03	8.024924e-03	1.439813e-01	6.339935e-02	8.058194e-02
212           	-8.591199e-03	8.024584e-03	1.439947e-01	6.340615e-02	8.058855e-02
213           	-8.591216e-03	8.024469e-03	1.439992e-01	6.340837e-02	8.059081e-02
214           	-8.591332e-03	8.024354e-03	1.440027e-01	6.341004e-02	8.059271e-02
215           	-8.591586e-03	8.024213e-03	1.440065e-01	6.341166e-02	8.059483e-02
216           	-8.591966e-03	8.024035e-03	1.440110e-01	6.341355e-02	8.059748e-02
217           	-8.592642e-03	8.023677e-03	1.440202e-01	6.341745e-02	8.060273e-02
218           	-8.592868e-03	8.023564e-03	1.440234e-01	6.341881e-02	8.060455e-02
219           	-8.593103e-03	8.023477e-03	1.440259e-01	6.341986e-02	8.060607e-02
220           	-8.593411e-03	8.023396e-03	1.440286e-01	6.342091e-02	8.060773e-02
221           	-8.593807e-03	8.023305e-03	1.440320e-01	6.342220e-02	8.060981e-02
222           	-8.594252e-03	8.023202e-03	1.440361e-01	6.342380e-02	8.061231e-02
223           	-8.594989e-03	8.023014e-03	1.440435e-01	6.342677e-02	8.061675e-02
224           	-8.595209e-03	8.022946e-03	1.440456e-01	6.342760e-02	8.061802e-02
225           	-8.595455e-03	8.022882e-03	1.440469e-01	6.342802e-02	8.061893e-02
226           	-8.595822e-03	8.022810e-03	1.440481e-01	6.342824e-02	8.061988e-02
227           	-8.596344e-03	8.022723e-03	1.440496e-01	6.342848e-02	8.062116e-02
228           	-8.596973e-03	8.022632e-03	1.440518e-01	6.342891e-02	8.062286e-02
229           	-8.597596e-03	8.022555e-03	1.440544e-01	6.342960e-02	8.062479e-02
230           	-8.598109e-03	8.022505e-03	1.440571e-01	6.343044e-02	8.062666e-02
231           	-8.598488e-03	8.022471e-03	1.440595e-01	6.343125e-02	8.062823e-02
232           	-8.598776e-03	8.022436e-03	1.440614e-01	6.343193e-02	8.062948e-02
233           	-8.599039e-03	8.022387e-03	1.440630e-01	6.343246e-02	8.063054e-02
234           	-8.599328e-03	8.022318e-03	1.440644e-01	6.343287e-02	8.063153e-02
235           	-8.599663e-03	8.022236e-03	1.440657e-01	6.343320e-02	8.063253e-02
